Name;Id;TextStraDllId;New game sector;Rescaled X;Rescaled Y;Core/Rim;PictureId;EncyclopediaDescription
Carida;111;11793;Colonies;518;354;Rim;24;"Carida (M-9, Colonies, 0 hyperlane)
Geology: Planet, Temperate, Mountains, Forests, Deserts, Glacier, Jungles, Arctic Tundra
Species: Caridan (native), Human
Economy: Food, Military Personnel, Military Tech, Industrial Equipment
History: Carida, known for its prestigious Imperial Academy, became a significant focus of the empire. The loss of the Death Star led to an increase in military training and production on Carida. The elite Stormtroopers and officers educated at the Academy play a crucial role in maintaining the Empire's grip on the galaxy. During this period, the Empire heavily fortified Carida, transforming it into a stronghold for their forces. The Academy's reputation grew, attracting some of the brightest minds and most skilled warriors from across the galaxy. The planet's importance was further bolstered by the development of new technologies and strategies, with many experimental projects taking place on its surface. Despite the Empire's efforts to maintain control, Carida would eventually become a battleground between the Empire and the Rebel Alliance. Its future will be shaped by the outcome of these ongoing conflicts and the struggle for freedom across the galaxy.
Sources: Clone Wars, Rebels"
Cato Neimoidia;112;11794;Colonies;534;420;Rim;25;"Cato Neimoidia (N-11, Colonies, 1 hyperlane)
Geology: Planet, Acidic Oceans, Canyons, Cliffs, Grasslands, Forests, Rock Arches
Species: Neimoidian
Economy: Labor, Ore, Raw Materials, Luxury, Droids, Food, Tech
History: Cato Neimoidia, once a wealthy world known for its opulent cities and grandiose architecture, experienced significant changes in its political and social landscape. The Neimoidians, who had been influential members of the Trade Federation, saw their power wane as the organization fell into disarray. With the collapse of the Confederacy of Independent Systems, Cato Neimoidia's prominence within the galaxy declined. Under the rule of the Galactic Empire, the once flourishing world faced economic stagnation, as the Empire's iron grip stifled commerce and trade. The population became increasingly discontented with their situation, leading to the rise of numerous resistance movements that sought to restore the planet's former status. These factions operated covertly to undermine the Empire's authority, hoping to bring about a change in the balance of power within the galaxy.
Sources: Episode 3, Clone Wars, Rebels
"
Commenor;113;11795;Colonies;554;410;Rim;31;"Commenor (N-10, Colonies, 4 hyperlanes)
Geology: Planet, Cities, Mountains, Oceans, Deserts, Canyons
Species: Human
Economy: -
History: Commenor experienced significant political and social changes. Initially part of the Galactic Empire, it was a strategic location due to its proximity to major hyperspace routes. The citizens, known for their technological prowess, had a reputation for neutrality and independence. After the Death Star's demise, the planet's leadership distanced themselves from the Empire, providing discreet support to the burgeoning Rebel Alliance. As the Galactic Civil War intensified, Commenor became a key site for intelligence gathering and covert operations. This period saw the establishment of underground networks and safe houses, facilitating the movement of essential supplies and information for the Rebel Alliance. Despite attempts by the Empire to reassert control, Commenor's inhabitants remained steadfast in their resistance, ultimately playing a crucial role in the gradual shift of power across the galaxy.
Sources: -"
Delaya;114;11796;Colonies;503;375;Rim;43;"Delaya (M-10, Colonies, 2 hyperlanes) 
Geology: Planet, Temperate Forests, Large Oceans
Species: Human (native
Economy: - 
History: Delaya is the only remaining world in the Alderaan system capable of sustaining life. Since Alderaan was destroyed by the Death Star, its remnants have become known as the Graveyard. Some survivors were displaced and forced to relocate to Delaya. Delaya’s population grew significantly as a result of this influx of refugees, and the planet's resources were strained to accommodate the new arrivals. Despite these challenges, the people of Delaya worked tirelessly to rebuild their communities and establish a new way of life in the aftermath of the tragic destruction of their neighboring planet. Alderaan had outsourced much of its industry to Delaya, creating a planet with a large population and many urban areas filled with factories and warehouses as well as homes.
Sources: Episode 3, Episode 4, Atlas
"
Hapes;115;11797;Colonies;561;365;Rim;72;"Hapes (O-9, Colonies, 3 hyperlanes)
Geology: Planet, Temperate, Cities, Forests, Mountains
Species: Hapan (native), Human
Economy: Food, High Tech, Luxury
History: Hapes continues to thrive under the isolationist policies of the Hapes Consortium. Ruled by a matriarchal monarchy, the society remained largely disconnected from the larger galactic conflict between the Rebel Alliance and the Galactic Empire. During this period, Hapes maintained its reputation for exceptional wealth and secrecy, with its rulers investing in the development of advanced technology and defense systems to protect their domain. The Hapans remained staunchly neutral in the ongoing conflict, focusing on preserving their unique culture and the safety of their people. Despite the galaxy's turmoil, Hapes maintained its status as a haven for those seeking refuge from the chaos, providing a sanctuary for individuals who managed to navigate the guarded borders of the Consortium.
Sources: Atlas
"
Kuat;116;11798;Colonies;510;394;Rim;94;"Kuat (M-10, Colonies, 2 hyperlanes)
Geology: Planet, Temperate, Plains, Forests
Species: Human
Economy: Electronics, Machinery, Raw Materials, Alcohol, Art, Food, Luxury, Starships
History: Kuat's importance as a center of shipbuilding and manufacturing increased significantly. Home to the renowned Kuat Drive Yards, the planet played a critical role in the construction of various vessels, including those used by the Empire. With the Empire's demand for new warships and resources heightened, Kuat's production facilities experienced a substantial uptick in output. This resulted in a rise in the planet's strategic value, making it a prime target for both Imperial forces seeking to protect their interests and the Rebellion aiming to disrupt the Empire's war machine.
Sources: Atlas
"
Neimoidia;117;11799;Colonies;530;401;Rim;120;"Neimoidia (M-10, Colonies, 2 hyperlanes)
Geology: Planet, Humid, Deserts, Fields, Rainforests
Species: Neimoidian (native), Duro
Economy: Tech, Food, Medicine, Botanicals, Starships
History: Neimoidia experiences a decline in prominence due to the weakening of the Trade Federation. Previously, Neimoidia had been the home world of the Neimoidians, who played a crucial role in the Trade Federation's operations. The Galactic Empire's continued consolidation of power led to the dissolution of the Trade Federation, leaving Neimoidia and its inhabitants to navigate a changing political landscape. Many Neimoidians lost their wealth and influence, with some turning to illegal activities or joining other factions to survive. Despite these challenges, Neimoidia persevered, adapting to the shifting dynamics of the galaxy as the conflict between the Rebel Alliance and the Galactic Empire unfolded.
Sources: Atlas
"
Taanab;118;11800;Colonies;561;346;Rim;164;"Taanab (O-8, Colonies, 3 hyperlanes)
Geology: Planet, Mild, Fields, Agriculture, Waterways
Species: Human (native), Bantha, Staga, Roba, Nerf
Economy: Fertilizers, Machine Parts, Pesticides, Food
History: Taanab's inhabitants were able to maintain their peaceful agrarian society despite the ongoing conflict between the Empire and the Rebel Alliance. The planet's agricultural prowess led to its reputation as a reliable source of high-quality produce, which further bolstered its economy. Taanab's residents took great pride in their agricultural heritage and continued to develop new farming techniques to improve their yields. While the planet remained relatively insulated from the wider galactic conflict, its people maintained a watchful eye on the shifting balance of power between the Empire and the Rebels.
Sources: Episode 6, The Mandalorian, SWG
"
Tirahnn;119;11801;Colonies;539;343;Rim;175;"Tirahnn (N-8, Colonies, 2 hyperlanes)
Geology: Planet, Warm, Plains, Forests, Mountains
Species: Human, ...
Economy: Luxury, Agricultural Goods, ...
History: Tirahnn experiences a period of relative stability. The native inhabitants, known for their expertise in computer systems and technology, continued to contribute to the galactic community. Tirahnn's role as a prominent technological hub persisted, attracting various organizations and individuals seeking advanced technological solutions. The local population's ability to maintain neutrality in the face of galactic conflict helped preserve Tirahnn's status and reputation. As events continued to unfold, the world served as a valuable resource for those in need of cutting-edge technology and skilled technicians.
Sources: Atlas
"
Bestine IV;120;11808;Core Worlds South;467;528;Rim;14;"Bestine IV (M-14, Mid Rim South, 2 hyperlanes)
Geology: Planet, Temperate, Cliffs, Oceans
Species: Human, Shahkirin, H'Kig
Economy: Raw Materials, Tech Gear
History: Bestine IV experiences significant political and social changes. Once a loyal supporter of the Galactic Empire, the local population began to question their allegiance, leading to unrest and the rise of a rebellious faction. The planet's strategic location attracted attention from both Imperial forces and the Rebel Alliance, causing tensions to escalate further. The ensuing conflict saw a power struggle unfold as both sides sought to establish control over the region. Ultimately, the struggle on Bestine IV became a small but crucial part of the broader struggle for control in the galaxy.
Sources: Episode 4, The Clone Wars"
Corellia;121;11809;Core Worlds South;486;469;Rim;33;"Corellia (M-11, Core Worlds South, 3 hyperlanes)
Geology: Planet, Temperate, Forests, Jungles, Oceans, Industrial Urban
Species: Human (native), Drall (native), Selonian (native), ...
Economy: Luxury, Raw Materials, Weaponry, Agricultural Goods, Alcohol, Starships
History: Corellia experiences a significant shift in political and social dynamics. As the birthplace of notable figures like Han Solo and Wedge Antilles, it held an important position within the galaxy. Corellia was under Imperial control, but the success of the Rebel Alliance inspired local resistance movements to intensify their efforts. In an attempt to quell the rising dissent, the Empire increased its presence, leading to further unrest and a cycle of escalating tensions. The Corellian people, known for their strong-willed and independent nature, found themselves increasingly united against the oppressive regime. This period of upheaval led to the growth of numerous factions, each vying for control of the system's resources and strategic position. Despite the turmoil, Corellia remained a vital hub for shipbuilding and engineering, with its skilled workforce continuing to produce cutting-edge technology.
Sources: Clone Wars, Rebels, SWG, SWTOR, Atlas"
Devaron;122;11810;Core Worlds South;472;509;Rim;47;"Devaron (M-13, Core Worlds South, 0 hyperlane)
Geology: Planet, Temperate, Tropical, Deep Valleys, Low Mountains, Jungles
Species: Deveronian (native)
Economy: Tech, Consumer Goods, Entertainment, Wanderers
History: Devaron experiences a period of relative stability as it continues to maintain a low profile in the galaxy. The Devaronian culture, known for their nomadic and adventurous nature, adapted to the changing galactic landscape. While the native population remained fiercely independent, they were drawn into the conflict between the Galactic Empire and the Rebel Alliance. During this time, Devaron's ancient Jedi Temple, known as the Temple of Eedit, became a significant location for those seeking knowledge about the Force. The site attracted both Jedi and Sith, leading to several encounters and skirmishes. As the conflict escalated, Devaron managed to preserve its cultural heritage and retain a level of autonomy, despite the growing turmoil in the galaxy.
Sources: Clone Wars
"
Duro;123;11811;Core Worlds South;499;451;Rim;52;"Duro (M-11, Core Worlds South, 3 hyperlanes)
Geology: Planet, Temperate, Toxic, Jungle
Species: Duro (native), Human, Rodian
Economy: Food, Labor, Ore, High Tech, Starships, Starships Parts
History: Duros, known for their skill in starship engineering, found themselves more deeply involved in the galactic struggle, with many contributing to both sides of the conflict. As the Galactic Empire increased its presence in the galaxy, Duro experienced a heightened level of control and exploitation. The planet's once-thriving cities became heavily fortified Imperial strongholds. The native Duros, suffering under oppressive Imperial rule, organized resistance movements and began to secretly support the Rebel Alliance, providing valuable intelligence and resources. Simultaneously, the destruction of the Death Star increased the demand for advanced technology and skilled pilots, leading to a growing underground market for Duro-produced starships and expert pilots. This period in Duro's history was characterized by the deepening divide between those supporting the Empire and those fighting for freedom with the Rebellion.
Sources: Atlas"
Exodeen;124;11812;Core Worlds South;525;484;Rim;60;"Exodeen (M-12, Core Worlds South, 3 hyperlanes)
Geology: Planet
Species: Exodeenian (native)
Economy: -
History: Exodeen, a relatively lesser-known world, felt the ripple effects of the recent events. As the ruling regime attempted to maintain control over the galaxy, worlds like Exodeen experienced increased surveillance and pressure to ensure compliance. The inhabitants navigated these challenges while attempting to maintain their way of life. Meanwhile, the Rebel Alliance saw opportunities to capitalize on the regime's weakened state and aimed to establish a presence on various planets, including Exodeen. This period in Exodeen's history was marked by uncertainty, with covert operations and espionage playing a significant role as both factions sought influence and control. As the galactic conflict continued, Exodeen's fate remained intertwined with the broader struggle for power and freedom.
Sources: Atlas
"
Hosnian Prime;125;11813;Core Worlds South;495;497;Rim;74;"Hosnian prime (M-12, Core Worlds South, 2 hyperlanes)
Geology: Planet, Urban
Species: Human, Pantoran
Economy: - 
History: Hosnian Prime begins to rise in prominence within the galaxy. During the waning years of the Galactic Republic, Hosnian Prime hosted a factory complex run by Czerka Arms, an arms manufacturer whose activities included the use of slavery. After the rise of the galactic empire Plas Lelkot, the surgeon consul of Hosnian Prime, hid refugees in his own chateau. Due to his support for the Rebel Alliance, he was imprisoned at the bleak Ashmead's Lock prison on the planet Kashyyyk.
Sources: Episode 7
"
Nubia;126;11814;Core Worlds South;505;474;Rim;124;"Nubia (M-11, Core Worlds South, 4 hyperlanes)
Geology: Planet, Temperate, Urban
Species: Aqualish, Human, Ithorian, Miraluka, Mon Calamari, Nikto, Rodian, ...
Economy: Low Tech, Food, Ore, Starship Parts, Astromech Droids
History: Nubia experiences a change in its role within the galaxy. As a notable shipbuilding hub, the planet's shipyards had long supplied vessels to the galaxy, including the Galactic Empire. Following the Empire's major setback, Nubia shifted its focus to supporting the growing Rebel Alliance with its advanced and high-quality starships. The planet's shipyards became vital for supplying the Alliance with reliable vessels, enabling the Rebellion to maintain its momentum against the Empire. Despite the risks, Nubia remained committed to aiding the struggle for freedom while carefully navigating the complex political landscape.
Sources: Atlas
"
Quarzite;127;11815;Core Worlds South;492;525;Rim;136;"Quarzite (M-13, Core Worlds South, 0 hyperlane)
Geology: Planet, Cool, High pressure Atmosphere, Crystalline Caverns
Species: Belugan (native), Kage (native)
Economy: -
History: Quarzite maintains its status as a largely secretive and isolated world. The planet's unique subterranean environment made it difficult for outsiders to access, allowing its inhabitants to maintain their privacy and avoid unwanted attention. Despite the ongoing conflict between the Empire and the Rebel Alliance, Quarzite did not play a prominent role in these events, as its remote location and insular nature kept it away from the central struggles. Instead, the inhabitants focused on their local affairs and the preservation of their unique culture, staying largely disconnected from the greater galactic strife.
Sources: Clone Wars, Rebels
"
Talus;128;11816;Core Worlds South;476;451;Rim;166;"Talus (M-11, Core Worlds South, 3 hyperlanes)
Geology: Planet, Temperate, Forests, Mountains, Grassy Plains, Mud Flats, Seas
Species: Human, Selonian, Drall, Aqualish, Devaronian, Twi'lek, Sullustan, Bith, Quarren, Nikto
Economy: High Tech, Medicinal Goods, Food, Metals, Minerals
History: Talus remains a tranquil and peaceful planet, known for its picturesque landscapes and diverse wildlife. It was part of the Corellian system, sharing its orbit with its sister planet, Tralus. The planet's inhabitants, which included both native species and settlers from other worlds, continued to live in harmony, focusing on agriculture and eco-tourism. Despite the ongoing conflict between the Empire and the Rebel Alliance, Talus managed to stay relatively uninvolved, maintaining its self-sufficient and cooperative society. The planet's idyllic setting and unassuming lifestyle drew visitors from across the galaxy seeking solace and natural beauty.
Sources: SWG"
Tralus;129;11817;Core Worlds South;467;473;Rim;177;"Tralus (M-11, Core Worlds South, 3 hyperlanes)
Geology: Planet, Temperate, Forests, Mountains, Lakes, Plains, Oceans
Species: Human, Selonian, Drall, Selkath, Chalactan, Sullustan, Ithorian, Duro, Mandalorian, Rodian, Trandoshan
Economy: Golden Creshik Wood, High Tech, Medicinal Goods, Food, Metals, Minerals
History: Tralus continues to be a center for political intrigue and tension due to its close proximity to its sister planet, Talus. The two worlds were historically locked in a power struggle, as they vied for influence within the Corellian system. Despite the broader galactic conflict, Tralus remained a hub for trade and commerce, maintaining its position as an important economic force. The world's inhabitants navigated the treacherous political landscape, striving to protect their interests and preserve their way of life in the face of the ever-changing galactic situation.
Sources: -"
Anaxes;130;11824;Crossroads;669;321;Rim;5;"Fort Anaxes (R-7, Crossroads, 2 hyperlanes)
Geology: Asteroid Belt, Caverns
Species: -
Economy: -
History: Following a major galactic conflict, Fort Anaxes, an ancient military installation, experienced a resurgence in importance. The fort, which had been abandoned due to its strategic decline, was repurposed by various factions seeking to exploit its defensive capabilities and historical significance. Amidst the chaos of the period, Fort Anaxes changed hands multiple times. The power struggles resulted in a series of skirmishes and battles, leaving visible scars on the once-majestic structure. Despite its tumultuous past, the fort remained a symbol of resilience, and efforts were made to restore and repurpose it for the needs of the day. As a stronghold for strategic operations and training, Fort Anaxes regained prominence in the military landscape. Its adaptive reuse reflected the ever-changing balance of power and the enduring importance of this historic site in the ongoing pursuit of stability and peace.
Sources: Clone Wars, Rebels, Atlas
"
Kashyyyk;131;11825;Crossroads;680;362;Rim;89;"Kashyyyk (P-9, Crossroads, 6 hyperlanes)
Geology: Planet, Temperate, Forests, Jungles, Mountains, Oceans, Swamps
Species: Wookiee (native)
Economy: Processed Metals, Electronic Components
History: Kashyyyk remains under Imperial control, its native Wookiee population subjected to harsh conditions and forced labor. The dense forests and valuable resources made the planet a strategic asset for the Empire. However, the Wookiees' resilience and determination to regain their freedom fueled a growing resistance movement. Covertly, they forged alliances with the Rebel Alliance, sharing vital intelligence and resources in a united effort against their oppressors. Kashyyyk became a symbol of the struggle for freedom, showcasing the courage and tenacity of its inhabitants in the face of adversity during the ongoing Galactic Civil War.
Sources: Clone Wars, Rebels, SWG, KOTOR 1, BattleField 1, BattleField 2, Atlas"
Kijimi;132;11826;Crossroads;676;339;Rim;93;"Kijimi (R-8, Crossroads, 0 hyperlane)
Geology: Planet, Frigid, Mountains
Species: Human, Anzellan, Boosodian
Economy: -
History: Kijimi continues to be a haven for criminals and outlaws. With its harsh climate and mountainous terrain, the planet provided a natural refuge for those seeking to evade authorities. During this period, Kijimi's most notable location, the Thieves' Quarter, thrived as a hub for underworld dealings, attracting various factions and individuals looking to conduct illicit business. Despite the increased presence of both the Rebellion and the Empire, Kijimi maintained its status as a sanctuary for those looking to operate outside the law, contributing to its complex and ever-evolving history.
Sources: Episode 9"
Onderon;133;11827;Crossroads;639;355;Rim;126;"Onderon (O-9, Crossroads, 2 hyperlanes)
Geology: Planet, Temperate, Jungle, Urban
Species: Bivali, Human, Ithorian, Togruta, Twi'lek
Economy: High Tech, Weapons
History: Onderon experiences a period of upheaval and change. The planet had long been divided between the technologically advanced city of Iziz and the fiercely independent tribes of the surrounding wilderness. After the fall of the Empire's Death Star, the impact on Onderon's political landscape became evident, with growing sentiment against the Empire. The Rebel Alliance found sympathizers among the people, fostering a climate of resistance. Despite the turmoil, Onderon's rich history, dating back to its ancient role as a Sith stronghold, remained a source of fascination and intrigue for scholars and adventurers alike.
Sources: Clone Wars, Rebels, KOTOR 2, Atlas"
Randon;134;11828;Crossroads;687;386;Rim;140;"Randon (Q-10, Crossroads, 5 hyperlanes)
Geology: Planet, Temperate, Urban
Species: Randoni (native), Bimm, Bothan, Lantillian, Lannik, Wookiee
Economy: -
History: Randon continues its existence as a hub for trade and travel. Known for its numerous spaceports and bustling cities, Randon remained largely unaffected by the conflict between the Empire and the Rebel Alliance. However, the planet's strategic location made it a point of interest for both factions. A diverse population, including settlers, merchants, and smugglers, called Randon home, contributing to its cosmopolitan atmosphere. While the planet's focus remained on trade and commerce, the influence of the broader galactic events could still be felt as Randon navigated an uncertain future.
Sources: Atlas"
Ruusan;135;11829;Crossroads;667;398;Rim;146;"Ruusan (P-11, Crossroads, 0 hyperlane)
Geology: Planet, Temperate, Canyons, Caves, Desert, Lakes, Rivers
Species: Ruusanian (native), Bouncer(native), Human, ...
Economy: Tech, Food, Ore
History: Ruusan's history remained a testament to its significance in ancient conflicts. Once the site of the climactic Battle of Ruusan, the planet bore witness to the end of the New Sith Wars and the foundation of the Rule of Two among the Sith. Although Ruusan's strategic importance had long since waned, its historical legacy lived on in the memory of the galaxy. The planet's scarred landscape stood as a silent reminder of the devastating power struggles that had taken place there, and the subsequent impact on the course of galactic history.
Sources: Clone Wars, Atlas
"
Trandosha;136;11830;Crossroads;660;360;Rim;178;"Trandosha (P-9, Crossroads, 6 hyperlanes)
Geology: Planet, Temperate, Forests, Jungles, Plains
Species: Trandoshan (native)
Economy: Tech, Mercenaries, Slaves, Detectives
History: Trandosha continues to be known for its inhabitants' reputation as skilled hunters and mercenaries. The Trandoshans, despite their alliance with the Empire, found themselves operating in a more precarious position. As the galaxy became further embroiled in conflict, Trandoshans continued to be sought after for their abilities and services, often working for various factions. Amidst the chaos, they tried to maintain their society's traditions and customs, including the Great Hunt, a rite of passage that tested the prowess of their young warriors, ensuring their warrior culture remained strong in the face of uncertainty.
Sources: Clone Wars, Rebels"
Umbara;137;11831;Crossroads;657;379;Rim;183;"Umbara (P-10, Crossroads, 2 hyperlanes)
Geology: Planet, Temperate, Rolling Landscape with Overgrown Plant Life
Species: Umbaran (native)
Economy: Doonium
History: Umbara, known for its perpetual darkness, remains an enigmatic and shadowy world. Its inhabitants, the Umbarans, were recognized for their advanced technology and expertise in manipulating shadow and darkness. Though the larger galactic conflict unfolded around them, the Umbarans maintained their neutrality and isolationist tendencies, focusing on their technological advancements. With its dark and mysterious environment, Umbara continued to be a place of intrigue for those aware of its existence, and its people sustained their reputation for being adept at navigating the shadows that enveloped their world.
Sources: Clone Wars, Rebels"
