Id;Field2_1;ProductionFamily;NextProductionFamily;FamilyId;TextStraDllId;Field7_2;IsAlliance;IsEmpire;RefinedMaterialCost;MaintenanceCost;ResearchOrder;ResearchDifficulty;UprisingDefense;Detection;ShieldStrength;SubLightEngine;Maneuverability;Hyperdrive;HyperdriveIfDamaged;TurbolaserFore;IonCannonFore;LaserCannonFore;TurbolaserAft;IonCannonAft;LaserCannonAft;TurbolaserPort;IonCannonPort;LaserCannonPort;TurbolaserStarboard;IonCannonStarboard;LaserCannonStarboard;TurbolaserRange;IonCannonRange;LaserCannonRange;TurbolaserAttackStrength;IonCannonAttackStrength;LaserCannonAttackStrength;OverallAttackStrength;Hull;TractorBeamPower;TractorBeamRange;GravityWellProjector;InterdictionStrength;BombardmentModifier;DamageControl;WeaponRechargeRate;ShieldRechargeRate;FighterCapacity;TroopCapacity;Field51_0;Name;EncyclopediaDescription
74;1;40;41;20;10058;2;1;0;42;37;6;70;17;10;300;4;1;70;140;10;0;60;0;0;90;20;0;90;20;0;90;50;0;17;50;0;330;380;1400;1;20;4;100;1;30;8;15;0;0;0;CC-7700 Frigate;"[ALLIANCE] CC-7700 Frigate (180m)
  Cost 42, Maintenance 37, Fighters 0, Troops 0

ATK: vs Ships 20, vs Fighters 90, Reload 8
DEF: Shield/Recharge 300/15, DamageControl 30, Hull 1400
MOV: Maneuverability 1, Hyperdrive/Backup 70/140
SPE: Bombardment 1, Interdictor

DMG: Front, Back, Sides (Range)
    + Turbolasers: 10, 0, 20 (5000m)
    + Ions/Torpedoes: -
    + Lasers: 60, 90, 90 (1700m)

Company: Rendili StarDrive
History: This model, primarily noted for its experimental nature, was part of a series of frigates that featured cutting-edge technologies. The CC-7700's notable feature was its gravity well projectors, intended to prevent enemy ships from escaping into hyperspace, making it a strategic asset in controlling enemy movements during engagements. While not as heavily armed as some other combat vessels, the tactical advantage provided by its unique technology made it valuable in the Galactic Empire's fleet composition, especially in the period following the destruction of the Death Star, where controlling rebel movements became increasingly important."
75;1;40;41;20;10059;2;1;0;248;175;11;100;110;10;1100;3;2;60;100;600;200;0;120;80;0;300;150;0;300;150;0;70;40;0;1320;580;0;1900;3000;6;20;0;0;4;40;80;60;10;4;0;Viscount Star Defender;"[ALLIANCE] Viscount-class Star Defender (17000m)
  Cost 248, Maintenance 175, Fighters 10, Troops 4

ATK: vs Ships 800, vs Fighters 0, Reload 80
DEF: Shield/Recharge 1100/60, DamageControl 40, Hull 3000
MOV: Maneuverability 2, Hyperdrive/Backup 60/100
SPE: Bombardment 4

DMG: Front, Back, Sides (Range)
    + Turbolasers: 600, 120, 300 (7000m)
    + Ions/Torpedoes: 200, 80, 150 (4000m)
    + Lasers: -

Company: Mon Calamari Shipyards
History: The Viscount represents a significant development in starship design. This class was conceived as a direct response to the growing threat of the Galactic Empire, especially its Star Destroyers. The Viscount-class was designed to be a formidable opponent in large-scale space battles, equipped with heavy armaments and strong shields, making it capable of engaging the Empire's most powerful warships. Its development symbolized the increasing scale and intensity of the Galactic Civil War, as the Rebel Alliance and other factions sought more powerful ships to challenge Imperial supremacy in the galaxy. The Viscount-class played a crucial role in shifting the balance of power in space combat during this tumultuous period."
76;1;40;41;20;10060;2;1;0;66;55;8;80;34;10;600;4;2;80;120;40;40;0;40;0;0;80;80;0;80;80;0;60;40;0;240;200;0;440;1840;1;20;0;0;2;25;16;30;6;3;0;Liberator Cruiser;"[ALLIANCE] Liberator-class cruiser (470m)
  Cost 66, Maintenance 55, Fighters 6, Troops 3

ATK: vs Ships 160, vs Fighters 0, Reload 16
DEF: Shield/Recharge 600/30, DamageControl 25, Hull 1840
MOV: Maneuverability 2, Hyperdrive/Backup 80/120
SPE: Bombardment 2

DMG: Front, Back, Sides (Range)
    + Turbolasers: 40, 40, 80 (6000m)
    + Ions/Torpedoes: 40, 0, 80 (4000m)
    + Lasers: -

Company: SoroSuub Corporation
History: This cruiser class became especially prominent within the ranks of the Rebel Alliance. Known for its combination of speed and firepower, the Liberator-class was adept at performing a variety of roles, from engaging in direct combat with Imperial forces to providing escort and support for other Alliance vessels. Its versatility made it a valuable asset in the Rebel fleet, especially in the strategic shifts following the destruction of the Death Star, where the Alliance increasingly relied on flexible and multi-role ships to challenge the Galactic Empire's dominance in space warfare."
77;1;40;41;20;10061;2;1;0;58;53;9;80;28;10;600;6;2;60;100;60;40;0;40;0;0;120;40;0;120;40;0;75;35;0;340;120;0;460;1200;1;20;0;0;1;35;16;30;0;1;0;MC30c Frigate;"[ALLIANCE] MC30c Frigate (380m)
  Cost 58, Maintenance 53, Fighters 0, Troops 1

ATK: vs Ships 160, vs Fighters 0, Reload 16
DEF: Shield/Recharge 600/30, DamageControl 35, Hull 1200
MOV: Maneuverability 2, Hyperdrive/Backup 60/100
SPE: Bombardment 1

DMG: Front, Back, Sides (Range)
    + Turbolasers: 60, 40, 120 (7500m)
    + Ions/Torpedoes: 40, 0, 40 (3500m)
    + Lasers: -

Company: Mon Calamari Shipyards
History: This class of frigate was primarily utilized by the Rebel Alliance and is recognized for its role in various naval engagements against the Galactic Empire. The MC30c, with its advanced shielding and substantial firepower, especially in the form of torpedoes and missiles, was designed for hit-and-run tactics, making it highly effective against larger Imperial warships. The versatility and firepower of the MC30c made it a key component in the Rebel fleet, particularly in the wake of the Death Star's destruction, where rapid, agile, and hard-hitting vessels became increasingly crucial in the asymmetric warfare tactics employed by the Rebellion."
78;1;40;41;20;10062;2;1;0;136;90;10;100;62;10;800;4;1;60;100;120;60;0;60;60;0;200;200;0;200;200;0;65;40;0;580;520;0;1100;2200;2;20;0;0;2;45;40;20;4;2;0;MC80a HomeOne Cruiser;"[ALLIANCE] MC80 Home One type Star Cruiser (1400m)
  Cost 136, Maintenance 90, Fighters 4, Troops 2

ATK: vs Ships 400, vs Fighters 0, Reload 40
DEF: Shield/Recharge 800/20, DamageControl 45, Hull 2200
MOV: Maneuverability 1, Hyperdrive/Backup 60/100
SPE: Bombardment 2

DMG: Front, Back, Sides (Range)
    + Turbolasers: 120, 60, 200 (6500m)
    + Ions/Torpedoes: 60, 60, 200 (4000m)
    + Lasers: -

Company: Mon Calamari Shipyards
History: This cruiser has a pivotal role in the Rebel Alliance's fleet. This class of star cruiser, with its distinctive organic design, was a symbol of Mon Calamari craftsmanship and engineering. The MC80, particularly the flagship ""Home One,"" commanded by Admiral Ackbar, became a beacon of hope and resilience for the Rebellion. Its advanced shielding and diverse armament made it a formidable opponent against the Imperial fleet. The Home One type played a central role in major battles, including the decisive Battle of Endor, contributing significantly to the downfall of the Galactic Empire and the restoration of peace in the galaxy."
128;1;40;41;20;10112;2;0;1;70;60;9;80;34;10;600;4;2;80;120;120;60;0;80;0;0;40;40;0;40;40;0;60;60;0;280;140;0;420;1600;3;20;0;0;1;10;18;30;1;0;0;Vindicator Heavy Cruiser;"[EMPIRE] Vindicator-class Heavy Cruiser (600m)
  Cost 70, Maintenance 60, Fighters 1, Troops 0

ATK: vs Ships 180, vs Fighters 0, Reload 18
DEF: Shield/Recharge 600/30, DamageControl 10, Hull 1600
MOV: Maneuverability 2, Hyperdrive/Backup 80/120
SPE: Bombardment 1

DMG: Front, Back, Sides (Range)
    + Turbolasers: 120, 80, 40 (6000m)
    + Ions/Torpedoes: 60, 0, 40 (6000m)
    + Lasers: -

Company: Rendili StarDrive
History: These cruisers were primarily utilized by the Galactic Empire, serving as a core part of its formidable fleet. The Vindicator-class was known for its balance of firepower, speed, and defensive capabilities, making it a versatile asset in various combat scenarios. These ships were often deployed in key battles against the Rebel Alliance, especially in the aftermath of the Death Star's destruction. Their presence in the Imperial fleet underscored the Empire's reliance on well-rounded and heavily armed vessels to maintain control over the galaxy."
129;1;40;41;20;10113;2;0;1;14;30;2;28;7;30;300;6;3;80;140;0;0;150;0;0;150;0;0;150;0;0;150;0;0;17;0;0;600;600;500;0;0;0;0;0;20;10;15;0;0;0;Lancer Frigate;"[EMPIRE] Lancer-class Frigate (250m)
  Cost 14, Maintenance 30, Fighters 0, Troops 0

ATK: vs Ships 0, vs Fighters 150, Reload 10
DEF: Shield/Recharge 300/15, DamageControl 20, Hull 500
MOV: Maneuverability 3, Hyperdrive/Backup 80/140
SPE: Bombardment 0

DMG: Front, Back, Sides (Range)
    + Turbolasers: -
    + Ions/Torpedoes: -
    + Lasers: 150, 150, 150 (1700m)

Company: Kuat Drive Yards
History: This class of frigate was specifically designed to counter the threat of starfighters, which had become increasingly prominent and effective, as evidenced by the destruction of the Death Star. Equipped with numerous laser cannons, the Lancer-class excelled in providing anti-fighter support for larger Imperial vessels. Their deployment signified a strategic shift in the Imperial Navy, acknowledging the need for dedicated anti-starfighter vessels to protect their capital ships from agile Rebel fighters. The Lancer-class frigates' specialized role made them a crucial component in the Empire's efforts to maintain space superiority."
130;1;40;41;20;10114;2;0;1;40;34;6;70;16;30;600;4;1;80;100;10;0;90;0;0;0;20;10;60;20;10;60;50;35;17;50;20;210;280;1200;0;0;4;100;0;10;7;15;0;0;0;Immobilizer Cruiser;"[EMPIRE] Immobilizer 418 Cruiser (600m)
  Cost 40, Maintenance 34, Fighters 0, Troops 0

ATK: vs Ships 30, vs Fighters 90, Reload 7
DEF: Shield/Recharge 600/15, DamageControl 10, Hull 1200
MOV: Maneuverability 1, Hyperdrive/Backup 80/100
SPE: Bombardment 0, Interdictor

DMG: Front, Back, Sides (Range)
    + Turbolasers: 10, 0, 20 (5000m)
    + Ions/Torpedoes: 0, 0, 10 (3500m)
    + Lasers: 90, 0, 60 (1700m)

Company: Sienar Fleet Systems
History: Known colloquially as the Interdictor, this vessel became infamous for its ability to generate gravity well projectors, effectively preventing hyperspace travel in its vicinity. The Immobilizer 418 played a critical role in the Galactic Empire's strategy, especially after the destruction of the Death Star. It was instrumental in trapping Rebel ships, hindering their escape or reinforcements via hyperspace, and thus becoming a key asset in blockades and ambushes. The introduction of this technology marked a significant development in galactic warfare, altering the dynamics of space engagements and showcasing the Empire's continuous innovation in military technology."
131;1;40;41;20;10115;2;0;1;26;24;0;0;13;20;200;6;2;60;120;5;0;60;5;0;60;15;0;90;15;0;90;50;0;17;40;0;300;340;1000;1;20;0;0;1;30;6;10;0;0;0;Arquitens Light Cruiser;"[EMPIRE] Arquitens-class Light Cruiser (325m)
  Cost 26, Maintenance 24, Fighters 0, Troops 0

ATK: vs Ships 15, vs Fighters 90, Reload 6
DEF: Shield/Recharge 200/10, DamageControl 30, Hull 1000
MOV: Maneuverability 2, Hyperdrive/Backup 60/120
SPE: Bombardment 1

DMG: Front, Back, Sides (Range)
    + Turbolasers: 5, 5, 15 (5000m)
    + Ions/Torpedoes: -
    + Lasers: 60, 60, 90 (1700m)

Company: Kuat Drive Yards
History: This class of cruiser was recognized for its distinctive design, featuring a slender frame and elongated bridge. Employed extensively by the Galactic Empire, these cruisers served various roles, including patrol, escort, and support missions. Their versatility made them a common sight in the Empire's efforts to maintain control across the galaxy. In the aftermath of the Death Star's destruction, the Arquitens-class light cruisers continued to be a crucial component of the Imperial Navy, particularly in smaller-scale operations where their agility and moderate firepower were most effective. Their presence in numerous conflicts underscored their reliability and adaptability in a wide range of tactical scenarios."
132;1;40;41;20;10116;2;0;1;68;44;0;0;30;10;200;3;1;60;140;120;0;0;0;0;0;100;0;0;100;0;0;50;0;0;320;0;0;320;1800;2;20;0;0;4;20;12;10;2;2;0;Victory I Star Destroyer;"[EMPIRE] Victory I-class Star Destroyer (900m)
  Cost 68, Maintenance 44, Fighters 2, Troops 2

ATK: vs Ships 120, vs Fighters 0, Reload 12
DEF: Shield/Recharge 200/10, DamageControl 20, Hull 1800
MOV: Maneuverability 1, Hyperdrive/Backup 60/140
SPE: Bombardment 4

DMG: Front, Back, Sides (Range)
    + Turbolasers: 120, 0, 100 (5000m)
    + Ions/Torpedoes: -
    + Lasers: -

Company: Kuat Drive Yards
History: Initially designed during the final years of the Galactic Republic, these Star Destroyers became an integral part of the Imperial Navy. The Victory I-class was known for its formidable firepower, which included turbolasers and concussion missile launchers, making it a significant threat in various battles. Its capabilities in both planetary siege and space combat allowed the Galactic Empire to maintain a strong presence in multiple sectors. Following the destruction of the Death Star, the Victory I-class Star Destroyers continued to enforce Imperial dominance, participating in key operations against the Rebel Alliance and other insurgent elements. Their deployment was a testament to the Empire's military strategy of overwhelming force and control."
133;1;40;41;20;10117;2;0;1;112;71;0;0;47;10;300;4;1;80;100;100;100;0;40;40;0;60;40;0;60;40;0;50;35;0;260;220;0;480;2750;3;20;0;0;2;30;20;15;6;3;0;Imperial I Star Destroyer;"[EMPIRE] Imperial I-class Star Destroyer (1600m)
  Cost 112, Maintenance 71, Fighters 6, Troops 3

ATK: vs Ships 200, vs Fighters 0, Reload 20
DEF: Shield/Recharge 300/15, DamageControl 30, Hull 2750
MOV: Maneuverability 1, Hyperdrive/Backup 80/100
SPE: Bombardment 2

DMG: Front, Back, Sides (Range)
    + Turbolasers: 100, 40, 60 (5000m)
    + Ions/Torpedoes: 100, 40, 40 (3500m)
    + Lasers: -

Company: Kuat Drive Yards
History: This Star Destroyer stands as one of the most iconic symbols of the Galactic Empire's military might. These colossal warships were central to the Empire's strategy of asserting control and instilling fear across the galaxy. Equipped with a vast array of weaponry and capable of carrying a large complement of TIE fighters, stormtroopers, and various ground vehicles, the Imperial I-class excelled in both space battles and ground assaults. Following the destruction of the Death Star, these Star Destroyers played a crucial role in the Empire's efforts to quell the Rebel Alliance and maintain its grip on the galaxy. Their formidable presence in numerous battles showcased the Empire's reliance on overwhelming power and technological superiority to achieve its objectives."
134;1;40;41;20;10118;2;0;1;282;170;11;100;120;5;1200;2;1;80;110;500;200;0;150;100;0;300;200;0;300;200;0;70;40;0;1250;700;0;1950;5000;6;20;0;0;3;20;70;60;12;9;0;Super Star Destroyer;"[EMPIRE] Executor-class Star Dreadnought (19000m)
  Cost 282, Maintenance 170, Fighters 12, Troops 9

ATK: vs Ships 700, vs Fighters 0, Reload 70
DEF: Shield/Recharge 1200/60, DamageControl 20, Hull 5000
MOV: Maneuverability 1, Hyperdrive/Backup 80/110
SPE: Bombardment 3

DMG: Front, Back, Sides (Range)
    + Turbolasers: 500, 150, 300 (7000m)
    + Ions/Torpedoes: 200, 100, 200 (4000m)
    + Lasers: -

Company: Kuat Drive Yards, Fondor Shipyards
History: The Super Star Destroyer, is one of the most formidable warships in the galaxy. This class, including the infamous flagship Executor of Darth Vader, represented the pinnacle of Imperial naval power. With overwhelming firepower and a massive complement of troops and TIE fighters, the Executor-class played a pivotal role in asserting the Galactic Empire's dominance. Its deployment often signified the importance of a mission or the need to exert maximum force. Post the destruction of the Death Star, the Executor and its sister ships became symbols of the Empire's response and commitment to crushing the Rebel Alliance, serving as a key element in major battles and strategic operations across the galaxy."
