Planet;Id;TextStraDllId;New game sector;Rescaled X;Rescaled Y;Core/Rim;PictureId;EncyclopediaDescription
Balmorra;110;11857;Colonies;530;382;Core;9;"Balmorra (M-10, Colonies, 0 hyperlane)
Geology: Planet, Temperate, Canyons, Industrial, Plains, Mountains, Urban
Species: Colicoid, Human, Hutt, Twi'lek
Economy: Food, Tech, Weapons
History: Balmorra is a factory world located in the galaxy's Colonies region. Despite being close to the Core Worlds, the planet has a strong sense of independence and was slow to join the Galactic Republic. During the Clone Wars, Balmorra left the Republic and joined the Confederacy of Independent Systems. After the war the Galactic Empire made use of its foundries, using them to build many of its All Terrain Armored Transports. The world shares its name with Balmorran Arms, a droid manufacturer, and Balmorran Heavyworks, a starship manufacturer that notably produced hauler models.
Sources: SWTOR
"
Carida;111;11858;Colonies;518;354;Core;24;"Carida (M-9, Colonies, 0 hyperlane)
Geology: Planet, Temperate, Mountains, Forests, Deserts, Glacier, Jungles, Arctic Tundra
Species: Caridan (native), Human
Economy: Food, Military Personnel, Military Tech, Industrial Equipment
History: Carida is a mountainous planet located within the Colonies region of the galaxy. Carida supported the Military Creation Act before the Clone Wars. Sometime later however, a protest against the increasing militarization of the Galactic Republic was held at the Carida Academy. In 14 BBY, during the reign of the Galactic Empire, Carida's Imperial academy became a target for an attack by rebels, which resulted in Moff Wilhuff Tarkin’s personal corvette being stolen.
Sources: Clone Wars, Rebels"
Cato Neimoidia;112;11904;Colonies;534;420;Core;25;"Cato Neimoidia (N-11, Colonies, 1 hyperlane)
Geology: Planet, Acidic Oceans, Canyons, Cliffs, Grasslands, Forests, Rock Arches
Species: Neimoidian
Economy: Labor, Ore, Raw Materials, Luxury, Droids, Food, Tech
History: Cato Neimoidia is one of the most prominent Purse worlds of the Neimoidians and the main headquarters of the Trade federation. By the High Republic Era, Cato Neimoidia was known for its opera. During the Clone Wars, the Trade Federation signed over holdings, including Cato Neimoidia, to the Intergalactic Banking Clan in exchange for a loan to purchase equity in a new droid factory. While Cato Nemoidia tried to maintain it’s neutrality during the clone wars the trade federation was closely affiliated with the separatists. Eventually the planet fully joined the Separatists and was conquered by the republic. After the war, the trade federation was nationalized by the Galactic empire and then subsequently dissolved. 
Sources: Episode 3, Clone Wars, Rebels
"
Commenor;113;11905;Colonies;554;410;Core;31;"Commenor (N-10, Colonies, 4 hyperlanes)
Geology: Planet, Cities, Mountains, Oceans, Deserts, Canyons
Species: Human
Economy: -
History: Commenor is an ancient, conservative planet located in the Colonies region of the galaxy. Commenor joined the republic early on in republic history. Rebel General Jan Dodonna hailed from Commenor, as did the Imperial officer Fatimah Nurii. While the planet officially supports the Emperor, it is also home to an underground resistance movement.
Sources: -
"
Delaya;114;11856;Colonies;503;375;Core;43;"Delaya (M-10, Colonies, 2 hyperlanes) 
Geology: Planet, Temperate Forests, Large Oceans
Species: Human (native
Economy: - 
History: Delaya was the sister world of Alderaan, before the later was destroyed by the Death Star being now known as the graveyard. Alderaan outsourced much of its industry to Delaya, creating a planet with a large population and many urban areas filled with factories and warehouses as well as homes. Delaya is now the sole remaining world in the system capable of sustaining life. Belaya Rist, the Chief Executive Officer of CryonCorp and a Rebel Alliance sympathizer, witnessed the destruction of Alderaan from Delaya.
Sources: Episode 3, Episode 4, Atlas
"
Hapes;115;11860;Colonies;561;365;Core;72;"Hapes (O-9, Colonies, 3 hyperlanes)
Geology: Planet, Temperate, Cities, Forests, Mountains
Species: Hapan (native), Human
Economy: Food, High Tech, Luxury
History: Hapes is the homeworld of the Hapans, a near-Human race known for their beauty, and the administrative capital of the Hapes Consortium. Surrounded by shimmering nebulae, and with seven moons in the sky after sunset, Hapes never knew the darkness of true night, and the Hapan people had relatively poor night-vision. Only a few small, neat cities were necessary to cater for the needs of the state bureaucracy and the Consortium's commercial and legal institutions, and much of the planet was an unspoiled wilderness of broad oceans, snow-peaked mountains and lush primeval forest, where tightly-controlled commercial fisheries and game-preserves were the major focus of Hapan activity. Hapes was first settled by the Lorell Raiders, a group of pirates who had found routes through the Transitory Mists and used the Hapes Cluster as their base.
Sources: Atlas
"
Kuat;116;11861;Colonies;510;394;Core;94;"Kuat (M-10, Colonies, 2 hyperlanes)
Geology: Planet, Temperate, Plains, Forests
Species: Human
Economy: Electronics, Machinery, Raw Materials, Alcohol, Art, Food, Luxury, Starships
History: Kuat is a vital shipbuilding and industrial planet. Known for the prestigious Kuat Drive Yards corporation and its large shipyards, the planet notably produced warships for the Galactic Republic, such as the Venator-class Star destroyer. Now the shipyards are used to produce and maintain the massive Imperial-class Star Destroyers of the Galactic Empire. Unlike most other planets in the galaxy, a single, large man-made ring circled its equator, this structure is Kuat Drive Yards’ legendary shipyard.
Sources: Atlas
"
Neimoidia;117;11862;Colonies;530;401;Core;120;"Neimoidia (M-10, Colonies, 2 hyperlanes)
Geology: Planet, Humid, Deserts, Fields, Rainforests
Species: Neimoidian (native), Duro
Economy: Tech, Food, Medicine, Botanicals, Starships
History: Neimoidia, also known as Pure Neimoidia, is a planet centrally located in the galaxy's Colonies region. The world was colonized in the distant past by the Duros. Over thousands of years those Duros living on Niemoidia evolved into their own species. Determined to expand beyond Neimoidia's borders to form an empire, the native Neimoidians began to establish a string of worlds known as Purse Worlds, striking out to locate, colonize and generate profits from Cato Neimoidia, Deko Neimoidia and Koru Neimoidia.
Sources: Atlas
"
Taanab;118;11863;Colonies;561;346;Core;164;"Taanab (O-8, Colonies, 3 hyperlanes)
Geology: Planet, Mild, Fields, Agriculture, Waterways
Species: Human (native), Bantha, Staga, Roba, Nerf
Economy: Fertilizers, Machine Parts, Pesticides, Food
History: Taanab is a planet in the inner rim. Primarily the planet was an agriworld that served as a major supplier to the mid rim and outer rim territories. Taanab has a mild, stable climate, that supports it s many agricultural projects. After the Imperial corvette Carrion Spike was stolen by dissidents Taanab was a world within their reach as a potential target, but Vice Admiral Dodd Rancit of Naval Intelligence did not consider the world under threat, as damaging the food source of so many innocents would not fit with the shipjackers' objectives.
Sources: Episode 6, The Mandalorian, SWG
"
Tirahnn;119;11865;Colonies;539;343;Core;175;"Tirahnn (N-8, Colonies, 2 hyperlanes)
Geology: Planet, Warm, Plains, Forests, Mountains
Species: Human, ...
Economy: Luxury, Agricultural Goods, ...
History: Tirahnn is a major trade hub along the perlemian trade route, in the outer rim. The world is essentially governed by a powerful merchant class, ruled by an extremely wealthy Merchant Princess. 
Sources: Atlas
"
Bestine IV;120;11888;Core Worlds South;467;528;Core;14;"Bestine IV (M-14, Mid Rim South, 2 hyperlanes)
Geology: Planet, Temperate, Cliffs, Oceans
Species: Human, Shahkirin, H'Kig
Economy: Raw Materials, Tech Gear
History: Bestine IV is a water-covered planet located in the Inner Rim. One of forty-two key member worlds of the Galactic Republic by the time of the High Republic Era, it served primarily as an agricultural world under the Republic, having some ship building facilities as well. Bestine IV remained loyal to the Republic during the Clone Wars against the Separatists, hosting a Republic Navy fleet. After the Clone Wars ended and the Republic's transition into the Galactic Empire. The Empire staked claim to Bestine IV and established an military base on the island of Jahnae. The locals disliked the Empire's presence and many denizens were ultimately driven off of Bestine IV.
Sources: Episode 4, The Clone Wars
"
Corellia;121;11825;Core Worlds South;486;469;Core;33;"Corellia (M-11, Core Worlds South, 3 hyperlanes)
Geology: Planet, Temperate, Forests, Jungles, Oceans, Industrial Urban
Species: Human (native), Drall (native), Selonian (native), ...
Economy: Luxury, Raw Materials, Weaponry, Agricultural Goods, Alcohol, Starships
History: Corellia was one of the founding members of the republic, and has a storied history dating back even further than that. orellian colonists settled on thousands of worlds, and its hyperspace scouts paved many of the galaxy's major hyperspace routes, making Corellia an important planet in the Galactic Republic. Under the Reign of the empire Corellia's shipyards were transformed into Imperial facilities, and though Corellia was a faded industrial world, it was used to build TIE fighters and Star Destroyers for the Imperial Navy. Many impoverished Corellian commoners sought to escape their homeworld for a better life. Several crime syndicates operate in the coastal Coronet City.
Sources: Clone Wars, Rebels, SWG, SWTOR, Atlas"
Devaron;122;11827;Core Worlds South;472;509;Core;47;"Devaron (M-13, Core Worlds South, 0 hyperlane)
Geology: Planet, Temperate, Tropical, Deep Valleys, Low Mountains, Jungles
Species: Deveronian (native)
Economy: Tech, Consumer Goods, Entertainment, Wanderers
History: Sometime in Devaron's history, the Jedi Order established a training center deep in the jungles of Devaron. The Temple of Eedit was built over a vergence powerful in the Force that imbued the entire area with a deep sense of power. During the Clone Wars, the Grand Army of the Republic maintained an outpost on the planet. 
Sources: Clone Wars
"
Duro;123;11828;Core Worlds South;499;451;Core;52;"Duro (M-11, Core Worlds South, 3 hyperlanes)
Geology: Planet, Temperate, Toxic, Jungle
Species: Duro (native), Human, Rodian
Economy: Food, Labor, Ore, High Tech, Starships, Starships Parts
History: Sometime during the Clone Wars, the Jedi Knight Pablo-Jill had an intense duel with Separatist General Grievous in a collapsing satellite city over Duro. After the new rule of the Galactic Empire was declared, Duro was one of the first Core Worlds to fall under Imperial control. Many Duros joined the Rebel Alliance after finding themselves as fugitives from their homeworld.
Sources: Atlas
"
Exodeen;124;11906;Core Worlds South;525;484;Core;60;"Exodeen (M-12, Core Worlds South, 3 hyperlanes)
Geology: Planet
Species: Exodeenian (native)
Economy: -
History: Exodeen was the first major occupied world in a string of planets of the Colonies encountered on the Hydian's route. The Rebel Alliance operatives Luke Skywalker and Nakari Kelen extracted the givin cryptologist Drusil Bephorin from the custody of the Galactic Empire from this world
Sources: Atlas
"
Hosnian Prime;125;11829;Core Worlds South;495;497;Core;74;"Hosnian prime (M-12, Core Worlds South, 2 hyperlanes)
Geology: Planet, Urban
Species: Human, Pantoran
Economy: - 
History: Hosnian prime is an Ecumenopolis located along the Corellian Trade Spine. During the waning years of the Galactic Republic, Hosnian Prime hosted a factory complex run by Czerka Arms, an arms manufacturer whose activities included the use of slavery. During the reign of the Galactic Empire, Plas Lelkot, the surgeon consul of Hosnian Prime, hid refugees in his own chateau. Due to his support for the Rebel Alliance, he was imprisoned at the bleak Ashmead's Lock prison on the planet Kashyyyk.
Sources: Episode 7
"
Nubia;126;11830;Core Worlds South;505;474;Core;124;"Nubia (M-11, Core Worlds South, 4 hyperlanes)
Geology: Planet, Temperate, Urban
Species: Aqualish, Human, Ithorian, Miraluka, Mon Calamari, Nikto, Rodian, ...
Economy: Low Tech, Food, Ore, Starship Parts, Astromech Droids
History: Nubia was colonized by hardy Human settlers in the distant past. The headquarters of Nubian Star Drives is located on this world, as is the headquarters of industrial automation droid factories and several other corporations. 
Sources: Atlas
"
Quarzite;127;11831;Core Worlds South;492;525;Core;136;"Quarzite (M-13, Core Worlds South, 0 hyperlane)
Geology: Planet, Cool, High pressure Atmosphere, Crystalline Caverns
Species: Belugan (native), Kage (native)
Economy: -
History: The two native species of this world were in a constant state of war with one another, until the Belugan’s made contact with the greater galaxy. During the Clone Wars, Quartzite was ruled by the Belugan dictator Lord Otua Blank.
Sources: Clone Wars, Rebels
"
Talus;128;11832;Core Worlds South;476;451;Core;166;"Talus (M-11, Core Worlds South, 3 hyperlanes)
Geology: Planet, Temperate, Forests, Mountains, Grassy Plains, Mud Flats, Seas
Species: Human, Selonian, Drall, Aqualish, Devaronian, Twi'lek, Sullustan, Bith, Quarren, Nikto
Economy: High Tech, Medicinal Goods, Food, Metals, Minerals
History: Talus shares its orbit with its sister planet Tralus, they both have the same center of gravity. Talus is in the same star system as Corellia
Sources: SWG"
Tralus;129;11833;Core Worlds South;467;473;Core;177;"Tralus (M-11, Core Worlds South, 3 hyperlanes)
Geology: Planet, Temperate, Forests, Mountains, Lakes, Plains, Oceans
Species: Human, Selonian, Drall, Selkath, Chalactan, Sullustan, Ithorian, Duro, Mandalorian, Rodian, Trandoshan
Economy: Golden Creshik Wood, High Tech, Medicinal Goods, Food, Metals, Minerals
History: Tralus shares its orbit with its sister planet Talus, they both have the same center of gravity. Tralus is in the same star system as Corellia.
Sources: -"
Anaxes;130;12128;Crossroads;669;321;Core;5;"Fort Anaxes (R-7, Crossroads, 2 hyperlanes)
Geology: Asteroid Belt, Caverns
Species: -
Economy: -
History: Fort Anaxes was located in a valley on the planet Anaxes, mostly built into a cavern inside a sheer cliff face, with a landing pad and outbuildings outside. After Anaxes' destruction early in the Imperial Era, the fort miraculously survived, remaining intact on an asteroid eventually designated PM-1203.
Sources: Clone Wars, Rebels, Atlas
"
Kashyyyk;131;11777;Crossroads;680;362;Rim;89;"Kashyyyk (P-9, Crossroads, 6 hyperlanes)
Geology: Planet, Temperate, Forests, Jungles, Mountains, Oceans, Swamps
Species: Wookiee (native)
Economy: Processed Metals, Electronic Components
History: In its early history Kashyyyk was invaded by the Czerka Corporation. Using superior technology, the company managed to enslave the Wookiees until an uprising drove the invaders away. Due to its status as a major navigational point, Kashyyyk was of prime strategic importance to the Galactic Republic, which led the Confederacy of Independent Systems to attack the planet toward the end of the Clone Wars. During the battle for their homeworld, hundreds of the Wookiee's catamarans were deployed. Eventually, the Confederacy's invasion fleet was driven off by Jedi General Master Yoda's taskforce. Despite Kashyyyk's loyalty to the Republic, the self-appointed Emperor had the Wookiees enslaved, and their planet itself was blockaded.
Sources: Clone Wars, Rebels, SWG, KOTOR 1, BattleField 1, BattleField 2, Atlas"
Kijimi;132;11778;Crossroads;676;339;Rim;93;"Kijimi (R-8, Crossroads, 0 hyperlane)
Geology: Planet, Frigid, Mountains
Species: Human, Anzellan, Boosodian
Economy: -
History: A thousand years ago, a religious group known as Dai Bendu constructed a monastery on the planet in the center of what became Kijimi City. Once famed for its marked spirituality, the planet became known as a haven for criminals. Though Kijimi City is home to many temples and monestaries.
Sources: Episode 9"
Onderon;133;11779;Crossroads;639;355;Rim;126;"Onderon (O-9, Crossroads, 2 hyperlanes)
Geology: Planet, Temperate, Jungle, Urban
Species: Bivali, Human, Ithorian, Togruta, Twi'lek
Economy: High Tech, Weapons
History: In its earliest ages of civilization, Onderon was a world marked with savage jungles that were filled with dangerous creatures. To survive, the primitive human inhabitants of the planet protected themselves behind the walls of fortified settlements. Over time, these settlements grew to become enormous walled cities, including the planet's capital, Iziz. A Separatist-backed monarch King Sanjay Rash allied Onderon with the Confederacy of Independent Systems after a pro-Separatist coup and Separatist invasion deposed monarch Ramsis Dendup. However, many Onderonians refused to recognize the legitimacy of Rash's rule, as they preferred the neutral stance championed by Dendup. This opposition led to the formation of the Onderon rebels, The resistance fighter Saw Gerrera hails from Onderon. 
Sources: Clone Wars, Rebels, KOTOR 2, Atlas"
Randon;134;11780;Crossroads;687;386;Rim;140;"Randon (Q-10, Crossroads, 5 hyperlanes)
Geology: Planet, Temperate, Urban
Species: Randoni (native), Bimm, Bothan, Lantillian, Lannik, Wookiee
Economy: -
History: Randon was a planet from which the Randoni originated. It is a large business world the at the intersection of several major trade routes. It features crowded bazaars and elegant corporate towers. During the Clone wars, Randon was situated in CIS territory
Sources: Atlas"
Ruusan;135;11781;Crossroads;667;398;Rim;146;"Ruusan (P-11, Crossroads, 0 hyperlane)
Geology: Planet, Temperate, Canyons, Caves, Desert, Lakes, Rivers
Species: Ruusanian (native), Bouncer(native), Human, ...
Economy: Tech, Food, Ore
History: Ruusan was home to the final battle between the Sith and the Jedi, where the Sith were finally defeated. There are many relics of ancient times left behind on this world. During the clone wars, Ruusan was allied with the seperatists and one of it’s moons was home to the listening post Skytop station. The World also lends it’s name to the Ruusan reformation and the Ruusan armistice. 
Sources: Clone Wars, Atlas
"
Trandosha;136;11782;Crossroads;660;360;Rim;178;"Trandosha (P-9, Crossroads, 6 hyperlanes)
Geology: Planet, Temperate, Forests, Jungles, Plains
Species: Trandoshan (native)
Economy: Tech, Mercenaries, Slaves, Detectives
History: Trandosha, also known as Dosh is positioned in the same star system as Kashyyyk, the homeworld of the Trandoshans' fierce rivals, the Wookiees. The feared Trandoshan bounty hunter Bossk hailed from Trandosha. 
Sources: Clone Wars, Rebels"
Umbara;137;11783;Crossroads;657;379;Rim;183;"Umbara (P-10, Crossroads, 2 hyperlanes)
Geology: Planet, Temperate, Rolling Landscape with Overgrown Plant Life
Species: Umbaran (native)
Economy: Doonium
History: Known as the ""Shadow World"" due to the lack of sunlight on its surface. It is the Homeword of the Umbaran people. The planet was initially part of the Galactic Republic before seceding to join the Confederacy of Independent Systems, before being retaken and coming under the rule of the Galactic Empire. They always prioritize their homeworld over the galactic government.
Sources: Clone Wars, Rebels"
Wobani;138;11784;Crossroads;695;329;Rim;189;"Wobani (R-8, Crossroads, 0 hyperlane)
Geology: Planet, Temperate, Hills, Mud Plains, Rock Formations
Species: -
Economy: -
History: Wobani was a temperate planet partially hidden by a swirling dust cloud. The planet was used by the Galactic Empire as a site for labor and prison camps. Many pirates were sent there as the Empire cracked down on criminals in the Outer Rim.
Sources: Rogue One"
Zeltros;139;11785;Crossroads;637;390;Rim;197;"Zeltros (O-10, Crossroads, 4 hyperlanes)
Geology: Planet, Temperate, Forests, Lakes, Oceans, Rivers, Urban
Species: Zeltron (native)
Economy: Gourmet Consumables, Art, Entertainment, Luxury, High Tech
History: Zeltros is known as a luxury world, and popular vacation destination, owing to the planet's abundance of pleasurable facilities ranging from amusement parks to theaters, night clubs, and much more.
Sources: Atlas"
Abregado-rae;140;12048;Deep Core;375;484;Rim;1;"Abregado-rae (K-13, Deep Core, 2 hyperlanes)
Geology: Planet. Temperate, Hills, Lakes, Mountains, Rivers
Species: Gado (native), Moocher (native), Devaronian, Gran, Herglic, Human, Ishi Tib, Nautolan, ...
Economy: Food, Tech
History: Abregado-rae, also known simply as Abregado, is a trade world located in the galaxy's Core Worlds. It is situated at the beginning of the Rimma Trade Route. During the High Republic Era, a countess living on Abregado-rae ordered a saberfish from Tibrin for her private aquarium, with it being transported to the Core in the starship Legacy Run. After the saberfish became ill due to her people not knowing how to care for it, the countess paid for the Run to return the fish to Tibrin. Unlike most Core Worlds, Abregado-rae was fairly backward, to the point of being compared with worlds in the Outer Rim Territories. The planet's spaceports seemed safe, at least to the untrained eye, but in fact it was a known smuggler's paradise.
Sources: Clone Wars
"
Byss;141;12049;Deep Core;362;461;Rim;22;"Byss (K-11, Deep Core, 1 hyperlane)
Geology: Planet, Urban Sprawls, Plateau Reserves, Canyons, Lakes
Species: Human, ...
Economy: High Tech, Food, Weapons
History: Byss was a planet located within the galaxy's Deep Core. It was only recently discovered prior to the fall of the republic. In recent years Emperor Palpatine has taken an interest in the world.
Sources: Atlas
"
Empress Teta;142;12131;Deep Core;392;420;Core;55;"Empress Teta (L-10, Deep Core, 2 hyperlanes)
Geology: Planet, Urban, Forests, Mountains, Plains
Species: Human, ...
Economy: Tech, Food, Raw Materials, Andris Spice, Carbonite
History: Though the andris mines on Empress Teta were abandoned once they ran dry, the Mining Guild continued to assert control over the world and eventually usurped the power of the ruling Keto family in all but name. The guild's affiliation with the Confederacy of Independent Systems caused Empress Teta to side against the Galactic Republic during the Clone Wars, while loyalist nobles fled to Coruscant. After the war ended with a Separatist defeat, the newly-formed Galactic Empire installed these nobles in positions of power, such as planetary bureaucrats or Mining Guild administrators. During the Galactic Civil War, the planet was ruled by Emperor Alor Keto, though he was largely an ineffectual puppet of the Mining Guild. Already a major supplier for the Imperial Military, Empress Teta assumed increased strategic importance for the Empire as its location restricted access to the Deep Core Security Zone, where the Empire tested experimental technologies such as Interdictors. The world was protected by Admiral Yzu's 15th Deep Core Reserve Fleet.
Sources: -"
Fondor;143;12050;Deep Core;395;496;Rim;64;"Fondor (L-13, Deep Core, 3 hyperlanes)
Geology: Planet, Temperate, Desert, Wasteland, Urban Sprawl
Species: Fondorian (native), Human, Herglic, Mrissi, Sullustan, Devaronian, Twi'lek, Selkath
Economy: Food, Consumer Goods, Machine Parts, Starships, Tech
History: Fondor is a planet located in the Colonies region. In the last years of the Galactic Republic, an important part of the planet Eriadu's economy was the shipping of lommite to Fondor via Malastare. With the formation of the Empire, Fondor became a manufacturing center and shipyard. Many classified Imperial technologies have also been researched here.
Sources: Battlefront 2, Atlas
"
Jakku;144;12052;Deep Core;349;488;Rim;82;"Jakku (I-13, Deep Core, 0 hyperlane)
Geology: Planet, Arid, Desert
Species: Teedo (native), Uthuthma (native), Abednedo, Crolute, Human, Hutt, Kyuzo, Melitto, Nu-Cosian, Dybrinthe
Economy: Food, Luxury, Tech, Water, Bezorite, Junk Metal, Kesium Gas, Magnite, Osmiridium, Salvaged Tech, Silicon
History: Jakku was once a verdant world with forests and water, but some past calamity turned it into a barren globe of scorched badlands and marching dunes. The Plaintive Hand plateau was a plateau on the planet Jakku, described as ""an outcropping of bent, flat rock."" The Anchorite sect regarded the plateau as a holy place, believing that it was home to the Consecrated Eremite thousands of years before the Galactic Civil War.
Sources: Episode 7, Episode 9, Battlefront 2
"
Jedha;145;12053;Deep Core;344;419;Rim;83;"Jedha (H10, Deep Core,0 hyperlane)
Geology: Moon, Arid, Deserts, Mesas, Ruptured Mantle, Magma Seas
Species: Anomid, Human, Lorrdian, Vobati
Economy: Food, Water, Medicine, Pilgrims, Kyber Crystals
History: The ancient world of Jdha was home to one of the first civilizations to explore the nature of the Force and considered a spiritual home of the Jedi Order, with many scholars believing the moon owes its name to the ancient religion. It was also believed to be among the possible locations of the first Jedi Temple, among other candidates such as Coruscant, Ossus, Tython and Ahch-to. During the early High Republic Era, many different Force religions were present on Jedha and it was a pilgrimage site for spiritual people across the galaxy. After the formation of the Galactic Empire, Imperial forces occupied the world and began mining it for Kyber Crystals. However rebel extremist Saw Gerrera and his Partisans, formed an insurgency, targeting the Empire's kyber shipments. Shortly before the battle of Yavin, Jedha City was destroyed by the Death Star’s super laser, the same blast wiped out Saw Gerrera’s insurgency as well. The Imperial official statement was that the blast was caused by a mining accident. 
Sources: Rogue One"
